B,avg_cost,avg_score,pool_size,pool
5e-06,3.5996041666666665e-06,0.8833333333333333,8,GLM-Z1-9B-0414|Llama-3.1-8B-Instruct|Llama-3.1-Nemotron-Nano-8B-v1|MiniCPM4.1-8B|OpenThinker3-7B|Qwen2.5-Coder-7B-Instruct|gemma-2-9b-it|qwen3-235b-a22b-2507
7.554045345535378e-06,6.316270833333333e-06,0.8875,8,GLM-Z1-9B-0414|Llama-3.1-8B-Instruct|Llama-3.1-Nemotron-Nano-8B-v1|MiniCPM4.1-8B|OpenThinker3-7B|Qwen2.5-Coder-7B-Instruct|gemma-2-9b-it|qwen3-235b-a22b-2507
1.1412720216480942e-05,9.459229166666667e-06,0.8916666666666666,8,GLM-Z1-9B-0414|Llama-3.1-8B-Instruct|Llama-3.1-Nemotron-Nano-8B-v1|MiniCPM4.1-8B|OpenThinker3-7B|Qwen2.5-Coder-7B-Instruct|gemma-2-9b-it|qwen3-235b-a22b-2507
1.7242441206241076e-05,1.5676291666666666e-05,0.8958333333333333,8,GLM-Z1-9B-0414|Llama-3.1-8B-Instruct|MiniCPM4.1-8B|NVIDIA-Nemotron-Nano-9B-v2|OpenThinker3-7B|Qwen2.5-Coder-7B-Instruct|cogito-v1-preview-llama-8B|qwen3-235b-a22b-2507
2.6050036547934563e-05,2.1120375e-05,0.9041666666666666,8,GLM-Z1-9B-0414|Llama-3.1-8B-Instruct|MiniCPM4.1-8B|NVIDIA-Nemotron-Nano-9B-v2|OpenThinker3-7B|Qwen2.5-Coder-7B-Instruct|cogito-v1-preview-llama-8B|qwen3-235b-a22b-2507
3.935663146719032e-05,3.8315875e-05,0.9125,8,GLM-Z1-9B-0414|Llama-3.1-8B-Instruct|MiniCPM4.1-8B|NVIDIA-Nemotron-Nano-9B-v2|OpenThinker3-7B|Qwen2.5-Coder-7B-Instruct|cogito-v1-preview-llama-8B|qwen3-235b-a22b-2507
5.9460355750136045e-05,5.2116916666666666e-05,0.9166666666666666,8,GLM-Z1-9B-0414|Llama-3.1-8B-Instruct|MiniCPM4.1-8B|NVIDIA-Nemotron-Nano-9B-v2|OpenThinker3-7B|Qwen2.5-Coder-7B-Instruct|cogito-v1-preview-llama-8B|qwen3-235b-a22b-2507
8.98332447196386e-05,8.891283333333333e-05,0.9291666666666666,8,GLM-Z1-9B-0414|Llama-3.1-8B-Instruct|MiniCPM4.1-8B|NVIDIA-Nemotron-Nano-9B-v2|OpenThinker3-7B|Qwen2.5-Coder-7B-Instruct|deepseek-v3-0324|qwen3-235b-a22b-2507
0.0001357208808297453,0.00013280215208333335,0.9374999999999999,8,GLM-Z1-9B-0414|Intern-S1-mini|Llama-3.1-8B-Instruct|MiniCPM4.1-8B|NVIDIA-Nemotron-Nano-9B-v2|Qwen2.5-Coder-7B-Instruct|gpt-5-chat|qwen3-235b-a22b-2507
0.00020504833762477988,0.00018828383750000001,0.95,8,GLM-Z1-9B-0414|Intern-S1-mini|Llama-3.1-8B-Instruct|MiniCPM4.1-8B|NVIDIA-Nemotron-Nano-9B-v2|Qwen2.5-Coder-7B-Instruct|deepseek-v3-0324|qwen3-235b-a22b-2507
